,volume_bcm,tp_0,tp_1,tp_2,tp_3,tp_4,tp_5,tp_6,tp_7,tp_8,tp_9,tp_10,tp_11,tp_12,tp_13,tp_14,t2m_0,t2m_1,t2m_2,t2m_3,t2m_4,t2m_5,t2m_6,t2m_7,t2m_8,t2m_9,t2m_10,t2m_11,t2m_12,t2m_13,t2m_14,yrmnth,set
2010-01-01,-0.8561870627203549,-0.20656791638301525,-0.3779854043410999,-0.5331992786994709,-0.6173731424722857,-0.6689775779506464,-0.7001420911083335,-0.7298330840935329,-0.754254348670462,-0.7749765958646848,-0.7741709086491806,-0.7823827976921156,-0.8003671738798991,-0.8058685883967638,-0.7958672073776614,-0.7827327911848976,-0.09833121461508068,-0.4227356168161568,-1.3978418757760267,-1.4401968708723627,-1.2609386757071805,-1.1126372447304358,-1.0496602597264038,-0.5531108871631673,-0.18638506488054565,-0.10256522705266923,0.3952937233371189,1.1966963910980843,0.40040954152243496,0.007666656069795082,0.6380251376162404,2010-01,
2010-01-02,-0.8268080537922352,-0.6932010925533537,-0.7088702644318261,-0.7497480169790351,-0.7770693307547567,-0.7884013664747997,-0.8060250675017709,-0.8193623387676398,-0.7217564514054821,-0.511056840608689,-0.3183352647820729,-0.38126954880615627,-0.39981555171238936,-0.39633402230618386,-0.44034263544196406,-0.47895488241519024,-0.020527180578539875,-1.1542023261234713,-1.101869552254417,-0.9266819664483195,-0.8195301295218546,-0.9234787250514526,0.08075616517536885,-0.8078666263630485,-0.5893606073577279,-0.6118867499427305,-0.43401831958972686,-0.38772090876269866,0.12017652001785634,0.026014370816880954,0.11437720257500493,2010-01,
2010-01-03,-0.7974290448641153,-0.6943835709892818,-0.7094966744090431,-0.749240154875991,-0.7791924515177061,-0.7885954165639996,-0.8044889942536836,-0.8055992239831679,-0.7447510476746955,-0.7081207219272988,-0.5784495093484996,-0.4629676585181641,-0.41216011136837416,-0.44995902905143587,-0.48833400196611887,-0.5233109376967013,-0.3759360973135308,-0.9433196204505994,-1.164295031325328,-0.8476615707477644,-0.9969917649404759,0.036129611293137624,0.37339136310939497,0.06495724718690367,-0.17868364963678524,-0.6629833009608096,-0.8216369755251085,-0.26183643558302105,0.5630058154385764,0.6068653274947537,0.46897196110015493,2010-01,
2010-01-04,-0.7974290448641153,-0.6943835709892818,-0.7094343282711207,-0.7341659626805265,-0.7539106011808988,-0.7691283472703252,-0.7908230301187713,-0.8078193513511356,-0.8207080223710643,-0.7483349365842061,-0.6850746091742594,-0.6883339074699412,-0.7118617893754673,-0.7343885531680248,-0.7515784322914028,-0.7656502110388967,-0.506229951692663,-0.4817472655129778,-0.5957893060707107,-1.0826231736868572,-1.2416985868567725,-0.1897027931176659,-0.009608391784011783,0.3547754576796388,-0.4584040486930085,0.37471792343606225,0.4241342008743378,0.8814556008094895,0.7380886056241119,-0.1928352360532796,0.08798252641578619,2010-01,
2010-01-05,-0.7827395404000553,-0.6943835709892818,-0.7094966744090431,-0.7239819647027008,-0.7593617279790106,-0.7823948755141642,-0.6945635492877316,-0.6225582681594256,-0.6421018615606001,-0.6190200189111252,-0.5957621007007575,-0.6179982075494191,-0.6474727068367342,-0.6733322475297698,-0.6952572183622759,-0.7136389082183401,-0.1880339951283967,-0.7146320381216207,-0.9158240130445006,-0.6265298431750116,0.08400876662475192,-0.128855034630283,0.26385828475401013,0.3142638098516368,0.030198249310344722,0.1548813036555002,0.07704483039354049,1.0435157752367246,0.3384167519793128,0.5772432587152878,0.8383560462873434,2010-01,
2010-01-06,-0.7753947881680254,-0.6943835709892818,-0.6693420250177133,-0.7079194125945228,-0.6716343524181911,-0.6338857880492655,-0.6674594135628685,-0.6919151849347901,-0.6955639244923131,-0.6993299265355962,-0.6852296126615811,-0.7174161431643513,-0.7458830743060165,-0.7655215654925205,-0.7801042300341476,-0.7922500467994489,-0.059420846194648894,-1.025404213103467,-0.7197364817510021,-0.7388972142340109,-0.014430125461277681,0.20280992420365976,0.5044555144342541,0.2685175721889586,0.23348067973706063,-0.03141287149587957,0.8035000707260662,0.9028757738987239,0.47160769165408983,-0.21450571441939265,0.13662928540052727,2010-01,
2010-01-07,-0.7680500359359954,-0.6943206967117108,-0.6933905254245836,-0.7339724174966247,-0.7010728765751499,-0.6813819286715981,-0.7013251728928444,-0.7264325237702789,-0.7495881899196017,-0.7709605827680845,-0.7900856055244883,-0.8287361373239812,-0.8522801889781498,-0.8581841307270122,-0.8603797454279076,-0.8584896901857154,-0.028800190663739556,-0.4034679264804329,-0.11497554649436496,-0.05553467443045101,0.4403509512197726,0.432869760447172,0.4384399708037824,0.8186268012170925,0.7654341165059418,0.3647416019612395,0.4902574556387988,0.31217241538714957,0.29119527215597274,0.10619449526163642,0.07587870636271546,2010-01,
2010-01-08,-0.7607052837039655,-0.6937126113356054,-0.7020936574169387,-0.7138771303657859,-0.6628865623429192,-0.6780672899190593,-0.6991416229572888,-0.7151462516989676,-0.7384845342718799,-0.7626029057905507,-0.782470439207888,-0.791435869975787,-0.801820690154536,-0.8123219818920939,-0.8228297802971083,-0.8324492712613014,0.017851680525552964,-0.22771002585101294,0.13533335733294052,-0.30198612950311543,-0.06029972601321785,-0.11067148427053453,0.7685611624900103,0.24465401603286227,-0.580267481469737,-0.18645978861801438,0.6379879519332575,0.9341612413014094,0.19761010008707247,-0.30974466499297465,-0.3154502496924538,2010-01,
2010-01-09,-0.7533605314719355,-0.62973145983957,-0.6174359722919667,-0.48419226959895106,-0.5363765897426017,-0.5776129500132555,-0.6031750144266319,-0.6360528692842065,-0.6712837351595946,-0.7023843025475552,-0.7281960397480138,-0.7569975581962725,-0.7830344359065421,-0.8002677860066464,-0.8121587496024646,-0.8226350849577445,-0.05218390280408128,-0.058624610915218735,-0.4850530983281692,-0.3604004637877199,0.2660033542526419,0.3915337801658646,1.0516337727332894,0.41316335859432485,-0.2930245091325288,-0.5623087212974746,-0.23887718005235922,0.07374602870765953,0.5488354666003626,-0.3951807649974619,-0.78177760914609,2010-01,
2010-01-10,-0.7239815225438158,-0.09441623907796905,-0.24499987633016146,-0.25269834768908883,-0.2371962123897109,-0.3056168082892752,-0.36789149265986637,-0.4421803160510878,-0.5014195282159831,-0.550702390129233,-0.5846360174672229,-0.6367361628958896,-0.6786309243223266,-0.7016660791638785,-0.7139726633594782,-0.7210083855500016,0.0299711018827248,-0.34115388632184623,-0.857562125733605,-0.42533631891163026,-0.4541647987594637,0.3269970243510799,0.6841717965153472,0.11475771970744561,-0.31845287607810435,-0.198039888432235,0.3771581598443474,0.5889630635947016,0.3572479247121014,0.4615521621104708,0.4939939634720814,2010-01,
2010-01-11,-0.7386710270078756,-0.4157042553165053,-0.32872809424193755,-0.3863385762104264,-0.4490068369816281,-0.49964721352167174,-0.5612245615950284,-0.6090147660691784,-0.6470624308949322,-0.6759324090074884,-0.6896640030939818,-0.7393647068682461,-0.7727430402606019,-0.7902124431348725,-0.8021282947012228,-0.8132389118878502,0.25720300373262406,-0.6412127009056195,0.10522616320476043,-0.2295173015612208,0.3837826771848207,0.4082789538624156,-0.18563649764883586,-0.18595175911035042,0.14655983861375785,-0.18786321244363094,0.0953996510155525,0.09558053696820808,-0.09695904410546095,0.017360258181025514,-0.060611227730623,2010-01,
